Quandl Code, Compute z* Score, Observations Used,> 1.96,> 2.58
YAHOO/LVLT,0.6902835026,2520,FALSE,FALSE
YAHOO/M,0.0096413449,2520,FALSE,FALSE
YAHOO/MAC,-0.0218019515,2520,FALSE,FALSE
YAHOO/MAR,1.5030233611,2520,FALSE,FALSE
YAHOO/MAS,-0.3193308189,2520,FALSE,FALSE
YAHOO/MAT,0.4520410958,2520,FALSE,FALSE
YAHOO/MCD,3.8687138555,2520,TRUE,TRUE
YAHOO/MCHP,1.1994702141,2520,FALSE,FALSE
YAHOO/MCK,1.9486189369,2520,FALSE,FALSE
YAHOO/MCO,0.716483392,2520,FALSE,FALSE
YAHOO/MDLZ,2.6690204811,2520,TRUE,TRUE
YAHOO/MDT,0.3119839989,2520,FALSE,FALSE
YAHOO/MET,1.3660315737,2520,FALSE,FALSE
YAHOO/MHFI,0.1649986247,2520,FALSE,FALSE
YAHOO/MHK,-1.1353501009,2520,FALSE,FALSE
YAHOO/MKC,3.1034009206,2520,TRUE,TRUE
YAHOO/MLM,-0.0659344663,2520,FALSE,FALSE
YAHOO/MMC,4.6800988477,2520,TRUE,TRUE
YAHOO/MMM,2.5845520783,2520,TRUE,TRUE
YAHOO/MNST,1.7242535668,2520,FALSE,FALSE
YAHOO/MO,2.5272619997,2520,TRUE,FALSE
YAHOO/MON,1.430384664,2520,FALSE,FALSE
YAHOO/MOS,0.4182792417,2520,FALSE,FALSE
YAHOO/MRK,1.1759399697,2520,FALSE,FALSE
YAHOO/MRO,1.5632061241,2520,FALSE,FALSE
YAHOO/MS,0.7843443411,2520,FALSE,FALSE
YAHOO/MSFT,2.2386653315,2520,TRUE,FALSE
YAHOO/MSI,0.5640082129,2520,FALSE,FALSE
YAHOO/MTB,3.0378857753,2520,TRUE,TRUE
YAHOO/MU,-0.4511332621,2520,FALSE,FALSE
YAHOO/MUR,1.8712113061,2520,FALSE,FALSE
YAHOO/NBL,1.456947241,2520,FALSE,FALSE
YAHOO/NDAQ,1.2736060013,2520,FALSE,FALSE
YAHOO/NEE,2.0558392958,2520,TRUE,FALSE
YAHOO/NEM,1.7543520428,2520,FALSE,FALSE
YAHOO/NFLX,-0.7637298967,2520,FALSE,FALSE
YAHOO/NFX,0.1937019159,2520,FALSE,FALSE
YAHOO/NI,2.0626584397,2520,TRUE,FALSE
YAHOO/NKE,2.7772789127,2520,TRUE,TRUE
YAHOO/NOC,0.7884660981,2520,FALSE,FALSE
YAHOO/NOV,1.3718758137,2520,FALSE,FALSE
YAHOO/NRG,0.6116532692,2520,FALSE,FALSE
YAHOO/NSC,1.3545492974,2520,FALSE,FALSE
YAHOO/NTAP,1.7647890007,2520,FALSE,FALSE
YAHOO/NTRS,4.9316675943,2520,TRUE,TRUE
YAHOO/NUE,3.1610164624,2520,TRUE,TRUE
YAHOO/NVDA,0.0700027914,2520,FALSE,FALSE
YAHOO/NWL,0.2372074283,2520,FALSE,FALSE
YAHOO/O,5.2312159902,2520,TRUE,TRUE
YAHOO/OI,-0.9018271159,2520,FALSE,FALSE
YAHOO/OKE,0.6217720116,2520,FALSE,FALSE
YAHOO/OMC,1.3731456463,2520,FALSE,FALSE
YAHOO/ORCL,3.1051165912,2520,TRUE,TRUE
YAHOO/ORLY,2.5015058228,2520,TRUE,FALSE
YAHOO/OXY,2.7570725116,2520,TRUE,TRUE
YAHOO/PAYX,2.3950187156,2520,TRUE,FALSE
YAHOO/PBCT,5.2485799904,2520,TRUE,TRUE
YAHOO/PBI,1.6240304562,2520,FALSE,FALSE
YAHOO/PCAR,2.2777800517,2520,TRUE,FALSE
YAHOO/PCG,3.8998261979,2520,TRUE,TRUE
YAHOO/PCL,5.9059024108,2520,TRUE,TRUE
YAHOO/PCLN,2.5547632335,2520,TRUE,FALSE
YAHOO/PDCO,1.9021543476,2520,FALSE,FALSE
YAHOO/PEG,3.349004092,2520,TRUE,TRUE
YAHOO/PEP,1.5373393239,2520,FALSE,FALSE
YAHOO/PFE,2.5526853882,2520,TRUE,FALSE
YAHOO/PFG,1.519353243,2520,FALSE,FALSE
YAHOO/PG,3.2194742272,2520,TRUE,TRUE
YAHOO/PGR,4.3161238548,2520,TRUE,TRUE
YAHOO/PH,1.0376120836,2520,FALSE,FALSE
YAHOO/PHM,0.290528363,2520,FALSE,FALSE
YAHOO/PKI,2.1832314271,2520,TRUE,FALSE
YAHOO/PLD,2.4222787609,2520,TRUE,FALSE
YAHOO/PNC,1.6918633127,2520,FALSE,FALSE
YAHOO/PNR,0.0398683569,2520,FALSE,FALSE
YAHOO/PNW,1.5153325909,2520,FALSE,FALSE
YAHOO/POM,0.2303990225,2520,FALSE,FALSE
YAHOO/PPG,1.9608928906,2520,TRUE,FALSE
YAHOO/PPL,3.3411903847,2520,TRUE,TRUE
YAHOO/PRGO,0.3452342102,2520,FALSE,FALSE
YAHOO/PRU,1.095226625,2520,FALSE,FALSE
YAHOO/PSA,6.2314800644,2520,TRUE,TRUE
YAHOO/PVH,-0.1219870727,2520,FALSE,FALSE
YAHOO/PWR,1.281810011,2520,FALSE,FALSE
